"Problemname","Problemtyp","Problempriorität","URLs","% von Gesamt","Beschreibung","Wie repariert man"
"Inhalt: Seiten mit geringem Inhalt","Hinweis","Mittel","90","28,390","Seiten mit einer Wortanzahl, die unter den standardmäßigen 200 Wörtern liegt. Die Wortanzahl basiert auf den in der Analyse verwendeten Inhaltsbereichseinstellungen, die über „Konfig &gt; Inhalt &gt; Bereich“ konfiguriert werden können. Es gibt in Wirklichkeit keine Mindestwortzahl für Seiten, aber Suchmaschinen verlangen beschreibenden Text, um den Zweck einer Seite zu verstehen. Dieser Filter sollte nur als grobe Richtlinie verwendet werden, um Seiten zu identifizieren, die durch Hinzufügen von beschreibenderem Inhalt im Kontext der Website und des Zwecks der Seite verbessert werden könnten. Einige Websites, wie z. B. aus dem E-Commerce, haben natürlich eine geringere Wortzahl, was akzeptabel sein kann, wenn Produktdetails effizient kommuniziert werden können.","Erwägen Sie, zusätzlichen beschreibenden Inhalt hinzuzufügen, um dem Benutzer und den Suchmaschinen zu helfen, die Seite besser zu verstehen."
"H2: Fehlende","Warnung","Niedrig","85","26,900","Seiten, auf denen ein<h2> fehlt, der Inhalt leer ist oder ein Leerzeichen vorkommt. Die <h2> Überschriften werden häufig verwendet, um Abschnitte oder Themen innerhalb eines Dokuments zu beschreiben. Sie fungieren als Wegweiser für den Benutzer und können Suchmaschinen dabei helfen, die Seite zu verstehen.","Verwenden Sie logische und beschreibende <h2>s auf wichtigen Seiten, die dem Benutzer und den Suchmaschinen helfen, die Seite besser zu verstehen."
"Seitentitel: Gleich wie H1","Hinweis","Niedrig","35","11,080","Seitentitel, die genau mit der ersten Überschrift (h1) auf der Seite übereinstimmen. Dies ist nicht unbedingt ein Problem, kann aber auf eine potenzielle Möglichkeit hindeuten, auf alternative Keywords, Synonyme oder verwandte Schlüsselphrasen abzuzielen.","Dies ist nicht unbedingt ein Problem, kann aber auf eine potenzielle Möglichkeit hindeuten, auf alternative Keywords, Synonyme oder verwandte Schlüsselphrasen abzuzielen."
"Direktive: Noindex","Warnung","Hoch","61","13,380","URLs, die eine „noindex“-Anweisung entweder in einem Robots-Meta-Tag oder X-Robots-Tag im HTTP-Header enthalten. Dies weist die Suchmaschinen an, die Seite nicht zu indizieren. Die Seite wird weiterhin gecrawlt (um die Anweisung zu sehen), aber sie wird dann aus dem Index gelöscht.","URLs mit einem „noindex“ sollten sorgfältig überprüft werden, um sicherzustellen, dass sie korrekt sind und nicht indexiert werden sollten. Wenn diese Seiten indexiert werden sollen, sollte die &#39;noindex&#39;-Direktive entfernt werden."
"URL: Nicht-ASCII-Zeichen","Warnung","Niedrig","3","0,650","URLs mit Zeichen außerhalb des ASCII-Zeichensatzes. Standards legen fest, dass URLs nur mit dem ASCII-Zeichensatz gesendet werden können und einige Benutzer möglicherweise Schwierigkeiten mit Feinheiten von Zeichen außerhalb dieses Bereichs haben.","URLs sollten in ein gültiges ASCII-Format konvertiert werden, indem Links zur URL mit sicheren Zeichen (bestehend aus % gefolgt von zwei Hexadezimalziffern) codiert werden. Heutzutage sind Browser und Suchmaschinen weitgehend in der Lage, URLs genau umzuwandeln."
"Inhalt: Sehr schwierig lesbar","Hinweis","Niedrig","21","6,620","Der Text auf der Seite ist sehr schwer lesbar und am besten von Hochschulabsolventen nach der Flesch-Lesehilfe-Score-Formel zu verstehen. Texte mit langen Sätzen und komplexen Wörtern sind im Allgemeinen schwerer zu lesen und zu verstehen.","Erwägen Sie, die Lesbarkeit des Textes für Ihre Zielgruppe zu verbessern. Text, der kürzere Sätze mit weniger komplexen Wörtern verwendet, ist oft einfacher zu lesen und zu verstehen."
"Seitentitel: Unter 200 Pixel","Hinweis","Mittel","10","3,160","Seiten, deren Seitentitel viel kürzer sind als die von Google geschätzte maximale Pixellänge. Dies ist nicht unbedingt ein Problem, weist jedoch darauf hin, dass möglicherweise Raum für die Ausrichtung auf zusätzliche Keywords oder die Kommunikation Ihrer USPs vorhanden ist.","Erwägen Sie, den Seitentitel zu aktualisieren, um den verbleibenden Platz für zusätzliche Ziel-Keywords oder USPs zu nutzen."
"H2: Mehrere","Warnung","Niedrig","97","30,700","Seiten mit mehreren <h2>. Dies ist kein Problem, da HTML-Standards mehrere <h2> zulassen, wenn sie in einer logischen hierarchischen Überschriftenstruktur verwendet werden. Dieser Filter kann Ihnen jedoch helfen, schnell zu scannen, um zu überprüfen, ob sie angemessen verwendet werden.","Sorgen Sie dafür, dass <h2> in einer logischen hierarchischen Überschriftenstruktur verwendet und gegebenenfalls aktualisiert werden, wobei Sie den vollständige Überschriftenrang zwischen (h3 - h6) für zusätzliche Überschriften verwenden."
"Links: Interne Outlinks ohne Ankertext","Hinweis","Niedrig","1","0,320","Seiten mit internen Links ohne Ankertext oder Bilder, die ohne Alt-Text verlinkt sind. Ankertext ist der sichtbare Text und die Wörter, die in Hyperlinks verwendet werden, die Benutzern und Suchmaschinen Kontext über den Inhalt der Zielseite bieten. Interne Outlinks ohne Ankertext können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ eingestellt und die Spalte „Ankertext“ leer ist. Wenn es sich um ein Bild handelt, ist die Spalte „Alt-Text“ auch leer. Export per Stapelbearbeitung erfolgt über „Massenexport &gt; Links &gt; Interne Outlinks ohne Ankertext“.","Überprüfen Sie die fehlenden Ankertext-Outlinks und fügen Sie gegebenenfalls nützlichen und beschreibenden Ankertext hinzu, um Benutzern und Suchmaschinen zu helfen."
"Bilder: Fehlender Alt-Text","Fehler","Niedrig","32","32,650","Bilder mit einem Alt-Attribut, aber fehlendem Alt-Text. Klicken Sie auf die Adresse des Bildes und dann auf die Registerkarte „Bilddetails“ im unteren Fensterbereich, um anzuzeigen, auf welchen Seiten sich das Bild befindet und auf denen Alt-Text fehlt. Bilder sollten einen beschreibenden Alternativtext zu ihrem Zweck haben, der Blinden und Sehbehinderten hilft. Zudem werden sie von Suchmaschinen verstanden, ebenso wie ihre Relevanz für die Webseite.","Fügen Sie beschreibenden Alternativtext für Bilder ein, damit Benutzer und Suchmaschinen sie besser verstehen. Wenn möglich, sollten dekorative Bilder mithilfe von CSS-Hintergrundbildern bereitgestellt werden, oder alternativ sollte ein null (leerer) Alt-Text bereitgestellt werden (alt=&quot;&quot;), damit sie von Hilfstechnologien wie Bildschirmlesegeräten ignoriert werden können."
"Meta Description: Über 155 Zeichen","Hinweis","Niedrig","30","9,490","Seiten mit Meta Descriptions über dem konfigurierten Limit. Zeichen, die dieses Limit überschreiten, werden möglicherweise in den Suchergebnissen von Google abgeschnitten.","Schreiben Sie prägnante Meta Descriptions, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden und für Benutzer nicht sichtbar sind."
"Antwort-Codes: Interne Umleitung (3xx)","Warnung","Niedrig","3","0,600","Interne URLs, die auf eine andere URL umleiten. Dazu gehören serverseitige Umleitungen wie 301- oder 302-Umleitungen (und mehr). Zeigen Sie URLs an, die auf Umleitungen verlinken, indem Sie die untere Registerkarte „Inlinks“ verwenden, und exportieren Sie sie per Stapelverarbeitung über „Massenexport &gt; Antwortcodes &gt; Intern &gt; Weiterleitung (3xx) Inlinks“.","Im Idealfall führen alle internen Links zu kanonischen Auflösungs-URLs und vermeiden Links zu weiterleitenden URLs. Dies reduziert die Latenz von Redirect-Hops für Benutzer und erhöht die Effizienz für Suchmaschinen."
"URL: Parameter","Warnung","Niedrig","1","0,220","URLs, die Parameter wie '?' oder '&'. enthalten Dies ist kein Problem für Google oder andere Suchmaschinen, es sei denn, es wird in erheblichem Umfang gecrawlt. Es wird aber empfohlen, die Anzahl der Parameter in einer URL zu begrenzen, was für Benutzer kompliziert und ein Zeichen für URLs mit geringem Mehrwert sein kann.","Verwenden Sie nach Möglichkeit eine statische URL-Struktur ohne Parameter für wichtige indexierbare URLs. Das Ändern von URLs ist jedoch eine wichtige Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
"Meta Description: Über 985 Pixel","Hinweis","Niedrig","26","8,230","Seiten, deren Meta Description die von Google geschätzte maximale Pixellänge für Snippets überschreiten. Die Länge von Google-Snippets basiert tatsächlich auf Pixelgrenzen und nicht auf einer Zeichenlänge. Die SEO Spider versucht, die neuesten Pixel-Truncation-Punkte in den SERPs abzugleichen, aber es ist eine Annäherung und Google passt sie häufig an.","Schreiben Sie prägnante Meta Description, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden und für Benutzer nicht sichtbar sind."
"Meta Description: Duplikate","Hinweis","Niedrig","26","8,230","Seiten mit doppelten Meta Descriptions. Es ist wirklich wichtig, eindeutige und einzigartige Meta Descriptions zu haben, die die Vorteile und den Zweck jeder Seite kommunizieren. Wenn sie doppelt oder irrelevant sind, werden sie von Suchmaschinen in ihren Snippets ignoriert.","Aktualisieren Sie doppelte Meta Descriptions nach Bedarf, damit wichtige Seiten einen eindeutigen und aussagekräftigen Titel für Benutzer und Suchmaschinen enthalten. Wenn es sich um doppelte Seiten handelt, beheben Sie diese, indem Sie auf eine einzelne Version verlinken, und leiten Sie sie um oder verwenden Sie gegebenenfalls Canonicals."
"Links: Interne Nofollow-Outlinks","Warnung","Niedrig","75","23,730","Seiten, die rel=&quot;nofollow&quot; auf internen Outlinks verwenden. Links mit nofollow-Linkattributen werden von Suchmaschinen grundsätzlich nicht verfolgt. Denken Sie daran, dass die verlinkten Seiten auch auf andere Weise gefunden werden können, z. B. über andere verfolgte Links oder XML-Sitemaps usw. Nofollow-Outlinks können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ eingestellt ist Die Spalte „Folgen“ ist „Falsch“. Export per Stapelbearbeitung erfolgt über „Massenexport &gt; Links &gt; Interne Nofollow-Outlinks“.","Überprüfen Sie die Verwendung von rel=&quot;nofollow&quot; auf internen Links. Diese könnten für URLs gültig sein, die idealerweise nicht gecrawlt würden, oder sie könnten irrtümlicherweise gecrawlt werden. Entfernen Sie das nofollow-Link-Attribut von wichtigen URLs, die gecrawlt und indexiert werden sowie einen PageRank erhalten sollen."
"H1: Über 70 Zeichen","Hinweis","Niedrig","8","2,530","Seiten, die <h1>s über die konfigurierte Länge haben. Es gibt keine feste Begrenzung für Zeichen in einer <h1>, sie sollten jedoch für Benutzer klar und prägnant sein, und lange Überschriften sind möglicherweise weniger hilfreich","Prägnante <h1>s für Benutzer schreiben, einschließlich Ziel-Keywords, wo dies für Benutzer selbstverständlich ist - ohne Keyword-Stuffing."
"Links: Nicht beschreibender Ankertext in internen Outlinks","Hinweis","Niedrig","236","74,680","Webseiten, die interne Outlinks mit Ankertext haben, der nicht beschreibend ist, wie z. B. „hier klicken“ oder „mehr erfahren“, basierend auf den Einstellungen unter „Konfig > Spider > Einstellungen“. Der Ankertext ist der sichtbare Text und die Wörter, die in Hyperlinks verwendet werden, die Benutzern und Suchmaschinen Kontext über den Inhalt der Zielseite bieten. Interne Outlinks mit nicht beschreibendem Ankertext können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ eingestellt ist und die Spalte „Ankertext“ Wörter wie „hier klicken“ oder „mehr erfahren“ enthält. Massenexport über „Massenexport > Links > Nicht beschreibender Ankertext in internen Outlinks“.","Überprüfen Sie den nicht beschreibenden Ankertext in Outlinks und aktualisieren Sie ihn gegebenenfalls, indem Sie nützlichen und beschreibenden Ankertext hinzufügen, um sowohl Benutzern als auch Suchmaschinen Kontext zur Verfügung zu stellen."
"Bilder: Über 100 KB","Hinweis","Mittel","3","3,060","Große Bilder über einem Größenschwellenwert. Die Seitengeschwindigkeit ist für Benutzer und SEO äußerst wichtig, und oft sind große Ressourcen wie Bilder eines der häufigsten Probleme, die Webseiten verlangsamen. Dieser Filter dient lediglich als allgemeine Faustregel, um Bilder zu identifizieren, die eine ziemlich große Dateigröße haben und länger zum Laden benötigen. Diese sollten zur Optimierung in Betracht gezogen werden, zusammen mit den Möglichkeiten, die auf der Registerkarte „PageSpeed“ identifiziert wurden, die die PSI-API und Lighthouse zur Überprüfung der Geschwindigkeit verwendet. Dies kann helfen, Bilder zu identifizieren, die nicht in der Größe optimiert wurden, außerhalb des Bildschirms geladen werden, nicht optimiert sind usw.","Unkomprimierte Bilder blähen Seiten mit unnötigen Bytes auf. Stellen Sie daher sicher, dass Bilder mit Komprimierung optimiert, richtig skaliert und im besten Bildformat verwendet werden, um die Dateigröße nach Möglichkeit zu reduzieren."
"URL: Über 115 Zeichen","Hinweis","Niedrig","4","0,870","URLs, die länger als die konfigurierte Länge sind. Dies ist im Allgemeinen kein Problem, Untersuchungen haben jedoch gezeigt, dass Benutzer kürzere, prägnante URL-Zeichenfolgen bevorzugen.","Verwenden Sie nach Möglichkeit logische und prägnante URLs für Benutzer und Suchmaschinen. Das Ändern von URLs ist jedoch eine wichtige Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
"Canonicals: Fehlende","Warnung","Mittel","29","9,150","Seiten, die keine kanonische URL haben, sind entweder als Link-Element oder per HTTP-Header vorhanden. Wenn auf einer Seite keine kanonische URL angegeben ist, ermittelt Google die seiner Meinung nach beste Version oder URL. Dies kann zu einer Unvorhersehbarkeit des Rankings führen, wenn mehrere Versionen entdeckt werden, und daher sollten im Allgemeinen alle URLs eine kanonische Version angeben","Geben Sie für jede Seite eine kanonische URL an, um eine potenzielle Unvorhersehbarkeit des Rankings zu vermeiden, wenn mehrere Versionen derselben Seite auf verschiedenen URLs entdeckt werden."
"H2: Nicht sequenziell","Warnung","Niedrig","12","3,800","Seiten mit einer <h2>, die nicht die zweite Überschriftenebene nach <h1> auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge erscheinen. Der Zweck von Überschriften ist es, die Struktur der Seite aufzuzeigen, weshalb sie in logischer Reihenfolge von <h1> bis <h6> sein sollten. Das macht es leichter, die Seite zu navigieren, und ist auch hilfreich für Nutzer, die auf unterstützende Technologien angewiesen sind.","Stellen Sie sicher, dass <h2> die zweite Überschrift auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge von <h1> bis <h6> sein. Überprüfen und ändern Sie die Seitenüberschriften, damit sie in absteigender Reihenfolge sind. Die Überschriftenebene nach <h1> sollte beispielsweise <h2> sein, gefolgt von <h3>."
"H2: Über 70 Zeichen","Hinweis","Niedrig","34","10,760","Seiten, die <h2> über dem konfigurierten Limit haben. Es gibt keine feste Begrenzung für Zeichen in einer <h2>, sie sollten jedoch für Benutzer klar und prägnant sein, und lange Überschriften sind möglicherweise weniger hilfreich","Schreiben Sie prägnante <h2> für Benutzer, einschließlich Ziel-Keywords, wo dies für Benutzer selbstverständlich ist - ohne Keyword-Stuffing."
"Bilder: Alt-Text über 100 Zeichen","Hinweis","Niedrig","5","5,100","Bilder, die eine Instanz von Alt-Text mit einer Länge von mehr als einer Zeichenlänge aufweisen. Dies ist nicht unbedingt ein Problem, jedoch sollte der Bild-ALT-Text prägnant und beschreibend sein. Er sollte nicht verwendet werden, um viele Keywords oder Textabschnitte auf eine Seite zu stopfen.","Schreiben Sie prägnanten Alt-Text, der für Benutzer und Suchmaschinen hilfreich ist – ohne Keyword-Stuffing."
"Seitentitel: Unter 30 Zeichen","Hinweis","Mittel","44","13,920","Seiten, deren Seitentitel unter dem konfigurierten Limit liegen. Dies ist nicht unbedingt ein Problem, weist jedoch darauf hin, dass möglicherweise Raum für die Ausrichtung auf zusätzliche Keywords oder die Kommunikation Ihrer USPs vorhanden ist.","Erwägen Sie, den Seitentitel zu aktualisieren, um den verbleibenden Platz für zusätzliche Ziel-Keywords oder USPs zu nutzen."
"Seitentitel: Über 561 Pixel","Hinweis","Mittel","23","7,280","Seiten, deren Seitentitel die von Google geschätzte Pixellänge für Titel in Suchergebnissen überschreiten. Die Länge von Google-Snippets basiert tatsächlich auf Pixelgrenzen und nicht auf einer Zeichenlänge. Die SEO Spider versucht, die neuesten Pixel-Truncation-Punkte in den SERPs abzugleichen, aber es ist eine Annäherung und Google passt sie häufig an.","Schreiben Sie prägnante Seitentitel, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden, für Benutzer nicht sichtbar sind und bei der Bewertung möglicherweise weniger gewichtet werden."
