"Problemname","Problemtyp","Problempriorität","URLs","% von Gesamt","Beschreibung","Wie repariert man"
"H2: Duplikate","Hinweis","Niedrig","50","40,980","Seiten mit doppelten <h2>. Es ist wichtig, eindeutige, einzigartige und nützliche Seiten zu haben. Wenn jede Seite die gleiche <h2> hat, dann kann es für Benutzer und Suchmaschinen schwieriger werden, eine Seite von einer anderen zu unterscheiden.","Aktualisieren Sie doppelte <h2>, wenn es nötig ist, damit wichtige Seiten eine eindeutige und beschreibende <h2> für Nutzer und Suchmaschinen enthalten. Wenn es sich um doppelte Seiten handelt, beheben Sie die doppelten Seiten, indem Sie auf eine einzelne Version verlinken, und leiten Sie sie um oder verwenden Sie gegebenenfalls Canonicals."
"Links: Seiten mit vielen externen Outlinks","Warnung","Niedrig","42","34,430","Seiten mit einer hohen Anzahl von verfolgten externen Outlinks, basierend auf den Einstellungen für „Hohe externe Outlinks“ unter „Config &gt; Spider &gt; Preferences“. Externe Outlinks sind Hyperlinks zu einer anderen Subdomain oder Domain (abhängig von Ihrer Konfiguration). Dies kann vollständig gültig sein, z. B. beim Verlinken zu einem anderen Teil derselben Stammdomäne oder zu anderen nützlichen Websites. Externe verfolgte Outlinks können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ und die Spalte „Folgen“ auf „Wahr“ eingestellt ist.","Überprüfen Sie verfolgte externe Outlinks, um sicherzustellen, dass es sich um glaubwürdige, vertrauenswürdige und relevante Websites handelt, die für Ihre Benutzer nützlich sind."
"Direktive: Noindex","Warnung","Hoch","17","3,950","URLs, die eine „noindex“-Anweisung entweder in einem Robots-Meta-Tag oder X-Robots-Tag im HTTP-Header enthalten. Dies weist die Suchmaschinen an, die Seite nicht zu indizieren. Die Seite wird weiterhin gecrawlt (um die Anweisung zu sehen), aber sie wird dann aus dem Index gelöscht.","URLs mit einem „noindex“ sollten sorgfältig überprüft werden, um sicherzustellen, dass sie korrekt sind und nicht indexiert werden sollten. Wenn diese Seiten indexiert werden sollen, sollte die &#39;noindex&#39;-Direktive entfernt werden."
"Inhalt: Seiten mit geringem Inhalt","Hinweis","Mittel","5","4,100","Seiten mit einer Wortanzahl, die unter den standardmäßigen 200 Wörtern liegt. Die Wortanzahl basiert auf den in der Analyse verwendeten Inhaltsbereichseinstellungen, die über „Konfig &gt; Inhalt &gt; Bereich“ konfiguriert werden können. Es gibt in Wirklichkeit keine Mindestwortzahl für Seiten, aber Suchmaschinen verlangen beschreibenden Text, um den Zweck einer Seite zu verstehen. Dieser Filter sollte nur als grobe Richtlinie verwendet werden, um Seiten zu identifizieren, die durch Hinzufügen von beschreibenderem Inhalt im Kontext der Website und des Zwecks der Seite verbessert werden könnten. Einige Websites, wie z. B. aus dem E-Commerce, haben natürlich eine geringere Wortzahl, was akzeptabel sein kann, wenn Produktdetails effizient kommuniziert werden können.","Erwägen Sie, zusätzlichen beschreibenden Inhalt hinzuzufügen, um dem Benutzer und den Suchmaschinen zu helfen, die Seite besser zu verstehen."
"H2: Fehlende","Warnung","Niedrig","1","0,820","Seiten, auf denen ein<h2> fehlt, der Inhalt leer ist oder ein Leerzeichen vorkommt. Die <h2> Überschriften werden häufig verwendet, um Abschnitte oder Themen innerhalb eines Dokuments zu beschreiben. Sie fungieren als Wegweiser für den Benutzer und können Suchmaschinen dabei helfen, die Seite zu verstehen.","Verwenden Sie logische und beschreibende <h2>s auf wichtigen Seiten, die dem Benutzer und den Suchmaschinen helfen, die Seite besser zu verstehen."
"URL: Nicht-ASCII-Zeichen","Warnung","Niedrig","47","10,760","URLs mit Zeichen außerhalb des ASCII-Zeichensatzes. Standards legen fest, dass URLs nur mit dem ASCII-Zeichensatz gesendet werden können und einige Benutzer möglicherweise Schwierigkeiten mit Feinheiten von Zeichen außerhalb dieses Bereichs haben.","URLs sollten in ein gültiges ASCII-Format konvertiert werden, indem Links zur URL mit sicheren Zeichen (bestehend aus % gefolgt von zwei Hexadezimalziffern) codiert werden. Heutzutage sind Browser und Suchmaschinen weitgehend in der Lage, URLs genau umzuwandeln."
"Inhalt: Sehr schwierig lesbar","Hinweis","Niedrig","19","15,570","Der Text auf der Seite ist sehr schwer lesbar und am besten von Hochschulabsolventen nach der Flesch-Lesehilfe-Score-Formel zu verstehen. Texte mit langen Sätzen und komplexen Wörtern sind im Allgemeinen schwerer zu lesen und zu verstehen.","Erwägen Sie, die Lesbarkeit des Textes für Ihre Zielgruppe zu verbessern. Text, der kürzere Sätze mit weniger komplexen Wörtern verwendet, ist oft einfacher zu lesen und zu verstehen."
"Seitentitel: Unter 200 Pixel","Hinweis","Mittel","9","7,380","Seiten, deren Seitentitel viel kürzer sind als die von Google geschätzte maximale Pixellänge. Dies ist nicht unbedingt ein Problem, weist jedoch darauf hin, dass möglicherweise Raum für die Ausrichtung auf zusätzliche Keywords oder die Kommunikation Ihrer USPs vorhanden ist.","Erwägen Sie, den Seitentitel zu aktualisieren, um den verbleibenden Platz für zusätzliche Ziel-Keywords oder USPs zu nutzen."
"H2: Mehrere","Warnung","Niedrig","98","80,330","Seiten mit mehreren <h2>. Dies ist kein Problem, da HTML-Standards mehrere <h2> zulassen, wenn sie in einer logischen hierarchischen Überschriftenstruktur verwendet werden. Dieser Filter kann Ihnen jedoch helfen, schnell zu scannen, um zu überprüfen, ob sie angemessen verwendet werden.","Sorgen Sie dafür, dass <h2> in einer logischen hierarchischen Überschriftenstruktur verwendet und gegebenenfalls aktualisiert werden, wobei Sie den vollständige Überschriftenrang zwischen (h3 - h6) für zusätzliche Überschriften verwenden."
"Links: Interne Outlinks ohne Ankertext","Hinweis","Niedrig","122","100,000","Seiten mit internen Links ohne Ankertext oder Bilder, die ohne Alt-Text verlinkt sind. Ankertext ist der sichtbare Text und die Wörter, die in Hyperlinks verwendet werden, die Benutzern und Suchmaschinen Kontext über den Inhalt der Zielseite bieten. Interne Outlinks ohne Ankertext können auf der Registerkarte „Outlinks“ angezeigt werden, wenn der Filter „Alle Linktypen“ auf „Hyperlinks“ eingestellt und die Spalte „Ankertext“ leer ist. Wenn es sich um ein Bild handelt, ist die Spalte „Alt-Text“ auch leer. Export per Stapelbearbeitung erfolgt über „Massenexport &gt; Links &gt; Interne Outlinks ohne Ankertext“.","Überprüfen Sie die fehlenden Ankertext-Outlinks und fügen Sie gegebenenfalls nützlichen und beschreibenden Ankertext hinzu, um Benutzern und Suchmaschinen zu helfen."
"Bilder: Fehlender Alt-Text","Fehler","Niedrig","44","15,330","Bilder mit einem Alt-Attribut, aber fehlendem Alt-Text. Klicken Sie auf die Adresse des Bildes und dann auf die Registerkarte „Bilddetails“ im unteren Fensterbereich, um anzuzeigen, auf welchen Seiten sich das Bild befindet und auf denen Alt-Text fehlt. Bilder sollten einen beschreibenden Alternativtext zu ihrem Zweck haben, der Blinden und Sehbehinderten hilft. Zudem werden sie von Suchmaschinen verstanden, ebenso wie ihre Relevanz für die Webseite.","Fügen Sie beschreibenden Alternativtext für Bilder ein, damit Benutzer und Suchmaschinen sie besser verstehen. Wenn möglich, sollten dekorative Bilder mithilfe von CSS-Hintergrundbildern bereitgestellt werden, oder alternativ sollte ein null (leerer) Alt-Text bereitgestellt werden (alt=&quot;&quot;), damit sie von Hilfstechnologien wie Bildschirmlesegeräten ignoriert werden können."
"Meta Description: Über 155 Zeichen","Hinweis","Niedrig","7","5,740","Seiten mit Meta Descriptions über dem konfigurierten Limit. Zeichen, die dieses Limit überschreiten, werden möglicherweise in den Suchergebnissen von Google abgeschnitten.","Schreiben Sie prägnante Meta Descriptions, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden und für Benutzer nicht sichtbar sind."
"Antwort-Codes: Interne Umleitung (3xx)","Warnung","Niedrig","7","1,400","Interne URLs, die auf eine andere URL umleiten. Dazu gehören serverseitige Umleitungen wie 301- oder 302-Umleitungen (und mehr). Zeigen Sie URLs an, die auf Umleitungen verlinken, indem Sie die untere Registerkarte „Inlinks“ verwenden, und exportieren Sie sie per Stapelverarbeitung über „Massenexport &gt; Antwortcodes &gt; Intern &gt; Weiterleitung (3xx) Inlinks“.","Im Idealfall führen alle internen Links zu kanonischen Auflösungs-URLs und vermeiden Links zu weiterleitenden URLs. Dies reduziert die Latenz von Redirect-Hops für Benutzer und erhöht die Effizienz für Suchmaschinen."
"URL: Parameter","Warnung","Niedrig","2","0,460","URLs, die Parameter wie '?' oder '&'. enthalten Dies ist kein Problem für Google oder andere Suchmaschinen, es sei denn, es wird in erheblichem Umfang gecrawlt. Es wird aber empfohlen, die Anzahl der Parameter in einer URL zu begrenzen, was für Benutzer kompliziert und ein Zeichen für URLs mit geringem Mehrwert sein kann.","Verwenden Sie nach Möglichkeit eine statische URL-Struktur ohne Parameter für wichtige indexierbare URLs. Das Ändern von URLs ist jedoch eine wichtige Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
"Meta Description: Über 985 Pixel","Hinweis","Niedrig","6","4,920","Seiten, deren Meta Description die von Google geschätzte maximale Pixellänge für Snippets überschreiten. Die Länge von Google-Snippets basiert tatsächlich auf Pixelgrenzen und nicht auf einer Zeichenlänge. Die SEO Spider versucht, die neuesten Pixel-Truncation-Punkte in den SERPs abzugleichen, aber es ist eine Annäherung und Google passt sie häufig an.","Schreiben Sie prägnante Meta Description, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden und für Benutzer nicht sichtbar sind."
"Meta Description: Unter 400 Pixel","Hinweis","Niedrig","3","2,460","Seiten mit Meta Description, die viel kürzer sind als die von Google geschätzte Pixellänge. Dies ist nicht unbedingt ein Problem, aber es weist darauf hin, dass möglicherweise Raum für die Kommunikation von Vorteilen, Alleinstellungsmerkmalen oder Handlungsaufforderungen besteht.","Erwägen Sie, die Meta Description zu aktualisieren, um den verbleibenden Platz zu nutzen, um zusätzliche Vorteile, USPs oder Handlungsaufforderungen zur Verbesserung der Klickraten (CTR) aufzunehmen."
"Meta Description: Duplikate","Hinweis","Niedrig","11","9,020","Seiten mit doppelten Meta Descriptions. Es ist wirklich wichtig, eindeutige und einzigartige Meta Descriptions zu haben, die die Vorteile und den Zweck jeder Seite kommunizieren. Wenn sie doppelt oder irrelevant sind, werden sie von Suchmaschinen in ihren Snippets ignoriert.","Aktualisieren Sie doppelte Meta Descriptions nach Bedarf, damit wichtige Seiten einen eindeutigen und aussagekräftigen Titel für Benutzer und Suchmaschinen enthalten. Wenn es sich um doppelte Seiten handelt, beheben Sie diese, indem Sie auf eine einzelne Version verlinken, und leiten Sie sie um oder verwenden Sie gegebenenfalls Canonicals."
"H1: Über 70 Zeichen","Hinweis","Niedrig","1","0,820","Seiten, die <h1>s über die konfigurierte Länge haben. Es gibt keine feste Begrenzung für Zeichen in einer <h1>, sie sollten jedoch für Benutzer klar und prägnant sein, und lange Überschriften sind möglicherweise weniger hilfreich","Prägnante <h1>s für Benutzer schreiben, einschließlich Ziel-Keywords, wo dies für Benutzer selbstverständlich ist - ohne Keyword-Stuffing."
"Meta Description: Unter 70 Zeichen","Hinweis","Niedrig","3","2,460","Seiten, deren Meta Descriptions unter dem konfigurierten Limit liegen. Dies ist nicht unbedingt ein Problem, sondern eine Chance. So haben Sie zusätzlichen Raum, um Vorteile, USPs oder Handlungsaufforderungen zu kommunizieren.","Erwägen Sie, die Meta Description zu aktualisieren, um den verbleibenden Platz zu nutzen, um zusätzliche Vorteile, USPs oder Handlungsaufforderungen zur Verbesserung der Klickraten (CTR) aufzunehmen."
"Bilder: Über 100 KB","Hinweis","Mittel","54","18,820","Große Bilder über einem Größenschwellenwert. Die Seitengeschwindigkeit ist für Benutzer und SEO äußerst wichtig, und oft sind große Ressourcen wie Bilder eines der häufigsten Probleme, die Webseiten verlangsamen. Dieser Filter dient lediglich als allgemeine Faustregel, um Bilder zu identifizieren, die eine ziemlich große Dateigröße haben und länger zum Laden benötigen. Diese sollten zur Optimierung in Betracht gezogen werden, zusammen mit den Möglichkeiten, die auf der Registerkarte „PageSpeed“ identifiziert wurden, die die PSI-API und Lighthouse zur Überprüfung der Geschwindigkeit verwendet. Dies kann helfen, Bilder zu identifizieren, die nicht in der Größe optimiert wurden, außerhalb des Bildschirms geladen werden, nicht optimiert sind usw.","Unkomprimierte Bilder blähen Seiten mit unnötigen Bytes auf. Stellen Sie daher sicher, dass Bilder mit Komprimierung optimiert, richtig skaliert und im besten Bildformat verwendet werden, um die Dateigröße nach Möglichkeit zu reduzieren."
"URL: Über 115 Zeichen","Hinweis","Niedrig","6","1,370","URLs, die länger als die konfigurierte Länge sind. Dies ist im Allgemeinen kein Problem, Untersuchungen haben jedoch gezeigt, dass Benutzer kürzere, prägnante URL-Zeichenfolgen bevorzugen.","Verwenden Sie nach Möglichkeit logische und prägnante URLs für Benutzer und Suchmaschinen. Das Ändern von URLs ist jedoch eine wichtige Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
"Meta Description: Fehlende","Hinweis","Niedrig","1","0,820","Seiten, die eine fehlende Meta Description haben, deren Inhalt leer ist oder ein Leerzeichen enthält. Dies ist eine verpasste Gelegenheit, die Vorteile Ihres Produkts oder Ihrer Dienstleistung zu kommunizieren und die Klickraten für wichtige URLs zu beeinflussen.","Es ist wichtig, eindeutige und beschreibende Meta Description auf Schlüsselseiten zu schreiben, um den Benutzern den Zweck der Seite mitzuteilen und sie dazu zu verleiten, auf Ihr Ergebnis statt auf die Konkurrenz zu klicken. Es kann auch bedeuten, dass Google diese Beschreibung für Snippets in den Suchergebnissen für einige Suchanfragen verwendet, anstatt basierend auf dem Inhalt der Seite eine eigene zu erstellen."
"H1: Nicht sequenziell","Warnung","Niedrig","1","0,820","Seiten mit einer <h1>, die nicht die erste Überschrift auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge erscheinen. Der Zweck von Überschriften ist es, die Struktur der Seite aufzuzeigen, weshalb sie in logischer Reihenfolge von <h1> bis <h6> sein sollten. Das macht es leichter, die Seite zu navigieren, und ist auch hilfreich für Nutzer, die auf unterstützende Technologien angewiesen sind.","Stellen Sie sicher, dass <h1> die erste Überschrift auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge von <h1> bis <h6> sein. Überprüfen und ändern Sie die Seitenüberschriften, damit sie in absteigender Reihenfolge sind. Die erste Überschriftenebene beispielsweise sollte <h1> sein, gefolgt von <h2>."
"H2: Über 70 Zeichen","Hinweis","Niedrig","56","45,900","Seiten, die <h2> über dem konfigurierten Limit haben. Es gibt keine feste Begrenzung für Zeichen in einer <h2>, sie sollten jedoch für Benutzer klar und prägnant sein, und lange Überschriften sind möglicherweise weniger hilfreich","Schreiben Sie prägnante <h2> für Benutzer, einschließlich Ziel-Keywords, wo dies für Benutzer selbstverständlich ist - ohne Keyword-Stuffing."
"Canonicals: Fehlende","Warnung","Mittel","5","4,100","Seiten, die keine kanonische URL haben, sind entweder als Link-Element oder per HTTP-Header vorhanden. Wenn auf einer Seite keine kanonische URL angegeben ist, ermittelt Google die seiner Meinung nach beste Version oder URL. Dies kann zu einer Unvorhersehbarkeit des Rankings führen, wenn mehrere Versionen entdeckt werden, und daher sollten im Allgemeinen alle URLs eine kanonische Version angeben","Geben Sie für jede Seite eine kanonische URL an, um eine potenzielle Unvorhersehbarkeit des Rankings zu vermeiden, wenn mehrere Versionen derselben Seite auf verschiedenen URLs entdeckt werden."
"H2: Nicht sequenziell","Warnung","Niedrig","1","0,820","Seiten mit einer <h2>, die nicht die zweite Überschriftenebene nach <h1> auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge erscheinen. Der Zweck von Überschriften ist es, die Struktur der Seite aufzuzeigen, weshalb sie in logischer Reihenfolge von <h1> bis <h6> sein sollten. Das macht es leichter, die Seite zu navigieren, und ist auch hilfreich für Nutzer, die auf unterstützende Technologien angewiesen sind.","Stellen Sie sicher, dass <h2> die zweite Überschrift auf der Seite ist. Überschriften sollten in einer logisch absteigenden Reihenfolge von <h1> bis <h6> sein. Überprüfen und ändern Sie die Seitenüberschriften, damit sie in absteigender Reihenfolge sind. Die Überschriftenebene nach <h1> sollte beispielsweise <h2> sein, gefolgt von <h3>."
"Bilder: Alt-Text über 100 Zeichen","Hinweis","Niedrig","4","1,390","Bilder, die eine Instanz von Alt-Text mit einer Länge von mehr als einer Zeichenlänge aufweisen. Dies ist nicht unbedingt ein Problem, jedoch sollte der Bild-ALT-Text prägnant und beschreibend sein. Er sollte nicht verwendet werden, um viele Keywords oder Textabschnitte auf eine Seite zu stopfen.","Schreiben Sie prägnanten Alt-Text, der für Benutzer und Suchmaschinen hilfreich ist – ohne Keyword-Stuffing."
"Seitentitel: Unter 30 Zeichen","Hinweis","Mittel","16","13,110","Seiten, deren Seitentitel unter dem konfigurierten Limit liegen. Dies ist nicht unbedingt ein Problem, weist jedoch darauf hin, dass möglicherweise Raum für die Ausrichtung auf zusätzliche Keywords oder die Kommunikation Ihrer USPs vorhanden ist.","Erwägen Sie, den Seitentitel zu aktualisieren, um den verbleibenden Platz für zusätzliche Ziel-Keywords oder USPs zu nutzen."
"Canonicals: Nicht indexierbarer Canonical","Fehler","Hoch","1","0,820","Seiten mit einer kanonischen URL, die nicht indexierbar ist. Dazu gehören Canonicals, die durch robots.txt, keine Antwort, Weiterleitung (3XX), Clientfehler (4XX) oder Serverfehler (5XX) blockiert werden, selbst wenn „noindex“ oder „kanonisiert“ sind. Dies bedeutet, dass die Suchmaschinen angewiesen werden, die Indexierung zu konsolidieren und Signale mit einer nicht indexierbaren Seite zu verknüpfen, was häufig dazu führt, dass sie die kanonische Seite ignorieren, aber auch zu Unvorhersehbarkeiten bei der Indexierung und im Ranking führen können. Exportieren Sie Seiten, ihre Canonicals und Statuscodes über „Berichte &gt; Canonicals &gt; Non-Indexable Canonicals“.","Stellen Sie sicher, dass kanonische URLs zu genau indexierbaren Seiten gehören, um zu vermeiden, dass sie von Suchmaschinen ignoriert werden und potenzielle Indexierungs- oder Ranking-Unvorhersehbarkeiten auftreten."
"Seitentitel: Über 561 Pixel","Hinweis","Mittel","17","13,930","Seiten, deren Seitentitel die von Google geschätzte Pixellänge für Titel in Suchergebnissen überschreiten. Die Länge von Google-Snippets basiert tatsächlich auf Pixelgrenzen und nicht auf einer Zeichenlänge. Die SEO Spider versucht, die neuesten Pixel-Truncation-Punkte in den SERPs abzugleichen, aber es ist eine Annäherung und Google passt sie häufig an.","Schreiben Sie prägnante Seitentitel, um sicherzustellen, dass wichtige Wörter in den Suchergebnissen nicht abgeschnitten werden, für Benutzer nicht sichtbar sind und bei der Bewertung möglicherweise weniger gewichtet werden."
"URL: Sich wiederholender Pfad","Warnung","Niedrig","1","0,230","URLs mit sich wiederholenden Pfaden oder Unterordnern innerhalb der Zeichenfolge (example.com/page1/page/page1/page2). Das kann in manchen Fällen legitim und logisch sein, weist aber auch oft auf eine schlechte URL-Struktur und mögliche Verbesserungen hin. Es kann auch helfen, Probleme mit falschen relativen Verknüpfungen zu identifizieren, die unendliche URLs verursachen.","Obwohl dies nicht immer ein Problem ist, sind sich wiederholende Pfade nicht besonders benutzerfreundlich oder können Crawling-Probleme verursachen, wenn sie auf eine falsche relative Verknüpfung zurückzuführen sind. Idealerweise sollte jede URL so prägnant wie möglich sein. Das Ändern von URLs ist jedoch eine große Entscheidung, und oft lohnt es sich nicht, sie allein für SEO-Zwecke zu ändern. Werden URLs geändert, müssen entsprechende 301-Redirects implementiert werden."
