"Adresse","Häufigkeit","H1-1","Länge von H1-1","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.ehip.eu/eignungspruefung/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=sportmanagement-studium&titel=B.A. Sportmanagement","1","Jetzt Studieninformationen anfordern! B.A. Sportmanagement","58","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/bachelor-sportmanagement/","0","","0","Indexierbar",""
"https://www.ehip.eu/bachelor-studium/","0","","0","Indexierbar",""
"https://www.ehip.eu/fernstudium-bachelor/","1","Bachelor Fernstudiengänge","25","Indexierbar",""
"https://www.ehip.eu/bachelor-studium-berufsbegleitend/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=fernstudium-fitnesstraining-fitnessmanagement&titel=B.A. Fitnesstraining und -management","1","Jetzt Studieninformationen anfordern! B.A. Fitnesstraining und -management","74","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/fernstudium/bachelor/vereinsmanagement-studium/","1","Breitensport","12","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/esport-studium/","1","E-Sport Management","18","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/fitnessmarketing-fernstudium/","1","Fitnessmarketing in der digitalen Welt","38","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/personal-training-fernstudium/","1","Personal Training","17","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=ernaehrungswissenschaften-fernstudium&titel=B.A. Ernährungswissenschaft","1","Jetzt Studieninformationen anfordern! B.A. Ernährungswissenschaft","65","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/fernstudium/bachelor/gesundheits-und-fitnessmanagement-studium/","1","Gesundheitsmanagement","21","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/sporttherapie-fernstudium/","1","Sporttherapie","13","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/sporternaehrung-studium/","1","Sporternährung","14","Indexierbar",""
"https://www.ehip.eu/bachelor-ernaehrungswissenschaften/","0","","0","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/nachhaltige-ernaehrung-studium/","1","Nachhaltige Ernährung","21","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungskommunikation-studium/","1","Ernährungspsychologie und Kommunikation","39","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungstherapie-studium/","1","Ernährungstherapie","18","Indexierbar",""
"https://www.ehip.eu/datenschutz/aufbewahrungs-und-speicherrichtlinie/","1","Aufbewahrungs- und Speicherrichtlinie","37","Nicht indexierbar","noindex"
"https://www.ehip.eu/studieninformationen-anfordern/?alias=fernstudium-sportwissenschaft-ernaehrungswissenschaft&titel=B.A. Sport- und Ernährungswissenschaft","1","Jetzt Studieninformationen anfordern! B.A. Sport- und Ernährungswissenschaft","76","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungstherapie-fernstudium/","1","Ernährungstherapie","18","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/betriebliches-gesundheitsmanagement-ernaehrung-fernstudium/","1","Gesundheitsmanagement","21","Nicht indexierbar","Canonicalised"
"https://www.ehip.eu/fernstudium/bachelor/ernaehrungscoach-studium/","1","Sporternährung","14","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/bewegungstherapie-studium/","1","Sporttherapie","13","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/personal-training-studium/","1","Personal Training","17","Indexierbar",""
"https://www.ehip.eu/bwl-berufsbegleitend/","0","","0","Indexierbar",""
"https://www.ehip.eu/bwl-studium/","0","","0","Indexierbar",""
"https://www.ehip.eu/bwl-bachelor/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=bwl-fernstudium&titel=B.A. Betriebswirtschaftslehre","1","Jetzt Studieninformationen anfordern! B.A. Betriebswirtschaftslehre","67","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/bwl-schwerpunkt/","0","","0","Indexierbar",""
"https://www.ehip.eu/bwl-studium-berufe/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieren-mit-oesterreichischer-vorbildung/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieren-mit-auslaendischer-vorbildung/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieren-mit-ausbildung/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieren-mit-abitur/","0","","0","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=e-learning-studium&titel=B.A. E-Learning-Management","1","Jetzt Studieninformationen anfordern! B.A. E-Learning-Management","64","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/fernstudium/bachelor/technische-betriebswirtschaft-studium/","1","Technisches Management","22","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/digitalisierung-studium/","1","Digitalisierung","15","Indexierbar",""
"https://www.ehip.eu/studieninformationen-anfordern/?alias=digital-marketing-studium&titel=B.A. Digital Marketing","1","Jetzt Studieninformationen anfordern! B.A. Digital Marketing","60","Nicht indexierbar","Canonicalised,noindex"
"https://www.ehip.eu/fernstudium/bachelor/fernstudium-human-resources/","1","Human Resources","15","Indexierbar",""
"https://www.ehip.eu/fernstudium/bachelor/e-commerce-studium/","1","E-Commerce","10","Indexierbar",""
